seed,draw,parameter,rank_frac,truth,sample_mean,sample_sd
0,28,beta_r,0.485,0.585689902305603,0.5866249799728394,0.00916510634124279
0,28,eta_col,0.545,0.8417552709579468,0.8411862254142761,0.005095035769045353
0,28,xi_reb,0.205,1.1907809972763062,1.1944578886032104,0.004523864481598139
0,28,z_A0_eff,0.445,0.8584001660346985,0.8595603704452515,0.006608254741877317
0,29,alpha,0.935,0.4112418591976166,0.39861756563186646,0.0073197977617383
0,29,beta_r,0.895,1.0682083368301392,1.0086499452590942,0.04734193533658981
0,29,eta_col,0.735,0.5245238542556763,0.5222419500350952,0.0035401126369833946
0,29,xi_reb,0.52,0.5486536026000977,0.5485013127326965,0.0020211683586239815
0,29,z_A0_eff,0.925,0.744953453540802,0.7316192388534546,0.00861338246613741
0,30,alpha,0.09,1.0708801746368408,1.0753843784332275,0.003564683487638831
0,30,beta_r,0.1,0.45022937655448914,0.4553288519382477,0.004092336166650057
0,30,eta_col,0.655,0.9497731328010559,0.9484057426452637,0.003485070075839758
0,30,xi_reb,0.27,0.49471837282180786,0.4957895576953888,0.0018425901653245091
0,30,z_A0_eff,0.775,0.7267682552337646,0.7250030040740967,0.0021512650419026613
0,31,alpha,0.295,1.0365325212478638,1.0386921167373657,0.0031564850360155106
0,31,beta_r,0.625,0.8609557747840881,0.8575859665870667,0.009727941825985909
0,31,eta_col,0.865,0.9968453645706177,0.9932987093925476,0.003110109828412533
0,31,xi_reb,0.425,0.6231685280799866,0.6234884858131409,0.0020349740516394377
0,31,z_A0_eff,0.395,0.7784084677696228,0.7790331244468689,0.0018680538050830364
0,32,alpha,0.765,0.9218368530273438,0.9179354906082153,0.005632889922708273
0,32,beta_r,0.555,1.1643948554992676,1.1595896482467651,0.018864106386899948
0,32,eta_col,0.045,0.5997028350830078,0.6071161031723022,0.005159566178917885
0,32,xi_reb,0.885,0.4195096492767334,0.4177771508693695,0.0017211097292602062
0,32,z_A0_eff,0.82,0.716081440448761,0.7125609517097473,0.004103383049368858
0,33,alpha,0.995,1.191076397895813,1.1817200183868408,0.0032556273508816957
0,33,beta_r,0.42,0.5802904367446899,0.5811516642570496,0.004708352033048868
0,33,eta_col,0.825,0.9167335033416748,0.9143425226211548,0.002505154348909855
0,33,xi_reb,0.17,0.4889545440673828,0.491128146648407,0.001963578863069415
0,33,z_A0_eff,0.93,0.947266697883606,0.9442291259765625,0.002060928847640753
0,34,alpha,0.375,0.6227812170982361,0.6264160871505737,0.011470937170088291
0,34,beta_r,0.495,1.1130040884017944,1.11026930809021,0.033415403217077255
0,34,eta_col,0.47,0.907027006149292,0.9083523750305176,0.012501024641096592
0,34,xi_reb,0.84,0.7680820822715759,0.7651353478431702,0.003246376058086753
0,34,z_A0_eff,0.475,0.8051968812942505,0.8054721355438232,0.011749538592994213
0,35,alpha,0.625,0.7114617228507996,0.7090497016906738,0.0067594014108181
